Select the country where your practice is located.,Where is your primary surgery location?,How many years have you been in practice post training?,Are you an ESCRS delegate?,Q_PHACO_DEFAULT,Q_PRESBYOPIA_DEFAULT,Q_ASTIGMATISM_DEFAULT,Q_REFRACTIVE_DEFAULT,Q_OCULARSURFACE_DEFAULT,Q_GLAUCOMA_DEFAULT,Q_RETINA_DEFAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Private hospital,0-5 years,Yes,Horizontal chop,Enhanced Monofocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Private hospital,6-10 years,Yes,,Trifocal IOLs,,Standard ablations,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Retired or do not currently perform surgery,21-30 years,Yes,,,,,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Other,Extended depth of focus IOLs,,Femtosecond intrastromal lenticule extraction ,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Corporate-owned clinic,11-20 years,Yes,,,,Wavefront-customized,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Private hospital,Over 30 years,Yes,Horizontal chop,Extended depth of focus IOLs,Digital image registration,Other,100 or more,After two medications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Private hospital,21-30 years,Yes,Horizontal chop,Extended depth of focus IOLs,,Wavefront-customized,51-99,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Academic institution or non-profit,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,Standard ablations,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Private hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,Wavefront-optimized,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Surgeon-owned clinic,21-30 years,,Horizontal chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Surgeon-owned clinic,21-30 years,Yes,,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-customized,26-50,After two medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,11-20 years,Yes,,Extended depth of focus IOLs,,,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Corporate-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,5-Jan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Academic institution or non-profit,11-20 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,21-30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Topography-customized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Academic institution or non-profit,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Surgeon-owned clinic,21-30 years,Yes,Divide and conquer,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Standard ablations,10-Jun,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Public hospital,11-20 years,"No, and I have no plans to become a delegate",,,,,5-Jan,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Public hospital,6-10 years,"No, and I have no plans to become a delegate",,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Academic institution or non-profit,21-30 years,Yes,,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Private hospital,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Surgeon-owned clinic,11-20 years,Yes,,Trifocal IOLs,,Wavefront-optimized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Other,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Public hospital,6-10 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Surgeon-owned clinic,11-20 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Private hospital,21-30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Public hospital,21-30 years,"No, and I have no plans to become a delegate",,,,,11-25,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Surgeon-owned clinic,11-20 years,Yes,Horizontal chop,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-customized,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Surgeon-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,51-99,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,Femtosecond intrastromal lenticule extraction ,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Hospital-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,Wavefront-optimized,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Wavefront-optimized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Corporate-owned clinic,11-20 years,Yes,Divide and conquer,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,Standard ablations,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Public hospital,Over 30 years,Yes,,Bifocal IOLs,,,51-99,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Public hospital,11-20 years,Yes,Stop and chop,Bifocal IOLs,,Wavefront-optimized,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Private hospital,11-20 years,Yes,Stop and chop,Trifocal IOLs,Anatomical landmarks without preoperative marking,Wavefront-optimized,26-50,,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Surgeon-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Bifocal IOLs,Digital image registration,Wavefront-optimized,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Retired or do not currently perform surgery,Over 30 years,"No, and I have no plans to become a delegate",,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Private hospital,21-30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Academic institution or non-profit,Over 30 years,"No, and I have no plans to become a delegate",,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Public hospital,21-30 years,Yes,,,,Topography-customized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Retired or do not currently perform surgery,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,Standard ablations,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Surgeon-owned clinic,Over 30 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Femtosecond intrastromal lenticule extraction ,11-25,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Corporate-owned clinic,0-5 years,"No, and I have no plans to become a delegate",,,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Private hospital,11-20 years,Yes,,Trifocal IOLs,,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Public hospital,Currently in training,Yes,Divide and conquer,Enhanced Monofocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,Currently in training,Yes,,,,,100 or more,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Accommodating IOLs,,Wavefront-optimized,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Extended depth of focus IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Academic institution or non-profit,Currently in training,"No, and I have no plans to become a delegate",,,,,11-25,After three medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Surgeon-owned clinic,6-10 years,"No, and I have no plans to become a delegate",Stop and chop,Enhanced Monofocal IOLs,,Wavefront-optimized,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Retired or do not currently perform surgery,0-5 years,Yes,,,,,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,Wavefront-optimized,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Academic institution or non-profit,21-30 years,Yes,Horizontal chop,Enhanced Monofocal IOLs,Ink marking at the slit lamp with no additional instruments,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Surgeon-owned clinic,6-10 years,Yes,Stop and chop,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Topography-customized,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Hospital-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Surgeon-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Private hospital,11-20 years,Yes,Horizontal chop,Extended depth of focus IOLs,,Wavefront-customized,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Republic of the",Private hospital,Over 30 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Hospital-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Surgeon-owned clinic,21-30 years,Yes,Stop and chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-customized,26-50,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Republic of the",Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Surgeon-owned clinic,11-20 years,Yes,,Trifocal IOLs,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Hospital-owned clinic,Over 30 years,Yes,,Enhanced Monofocal IOLs,,Wavefront-customized,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Surgeon-owned clinic,6-10 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Academic institution or non-profit,Currently in training,"No, and I have no plans to become a delegate",Vertical chop,Trifocal IOLs,Digital image registration,,26-50,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,Over 30 years,Yes,,Enhanced Monofocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,11-25,After first-line medication,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Other (Please specify.) ,11-20 years,Yes,Horizontal chop,Extended depth of focus IOLs,,Wavefront-optimized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,21-30 years,Yes,Vertical chop,Extended depth of focus IOLs,,Topography-customized,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Private hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Academic institution or non-profit,6-10 years,"No, but I plan to become a delegate in the next 12 months",Vertical chop,Enhanced Monofocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-customized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Private hospital,6-10 years,Yes,,Extended depth of focus IOLs,Digital image registration,Wavefront-optimized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,21-30 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Private hospital,Over 30 years,Yes,Horizontal chop,Extended depth of focus IOLs,Digital image registration,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Retired or do not currently perform surgery,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Democratic Republic of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Public hospital,Over 30 years,Yes,,,,Femtosecond intrastromal lenticule extraction ,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Surgeon-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",Stop and chop,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Private hospital,21-30 years,"No, and I have no plans to become a delegate",,,,Standard ablations,10-Jun,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Public hospital,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Surgeon-owned clinic,Over 30 years,"No, and I have no plans to become a delegate",Vertical chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Academic institution or non-profit,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Femtosecond intrastromal lenticule extraction ,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Hospital-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,100 or more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",,Enhanced Monofocal IOLs,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,Standard ablations,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Private hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Private hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Corporate-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,Enhanced Monofocal IOLs,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-optimized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Corporate-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Digital image registration,Standard ablations,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Public hospital,0-5 years,Yes,Divide and conquer,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Academic institution or non-profit,6-10 years,Yes,,Enhanced Monofocal IOLs,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,5-Jan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Corporate-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Trifocal IOLs,,Wavefront-optimized,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Hospital-owned clinic,0-5 years,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Vertical chop,Trifocal IOLs,,Topography-customized,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,Ink marking at the slit lamp with no additional instruments,,10-Jun,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hospital-owned clinic,11-20 years,"No, and I have no plans to become a delegate",Stop and chop,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Hospital-owned clinic,Over 30 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Corporate-owned clinic,0-5 years,"No, and I have no plans to become a delegate",,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Private hospital,11-20 years,Yes,,,,Standard ablations,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Surgeon-owned clinic,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,11-20 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,Wavefront-optimized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,Topography-customized,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Surgeon-owned clinic,11-20 years,Yes,,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,51-99,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,11-20 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Trifocal IOLs,,Wavefront-customized,100 or more,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Surgeon-owned clinic,11-20 years,"No, and I have no plans to become a delegate",Divide and conquer,Extended depth of focus IOLs,,Wavefront-customized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Retired or do not currently perform surgery,Over 30 years,Yes,,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
